seed,participant_id,trial_no,block_position,ui_variant,scenario,scenario_name,stimulus,url,상태
1,p1,1,1,control_A,1,수치측정,wifi500ms,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=1&scenario=1,
1,p1,2,1,control_A,2,신호대기,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=1&scenario=2,
1,p1,3,1,control_A,3,돌발상황,taxi,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=1&scenario=3,
1,p1,4,1,control_A,5,정밀제어,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=1&scenario=5,
1,p1,5,1,control_A,6,도착처리,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=1&scenario=6,
1,p1,6,2,B1,1,수치측정,battery17%,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=1&scenario=1,
1,p1,7,2,B1,2,신호대기,,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=1&scenario=2,
1,p1,8,2,B1,3,돌발상황,bump,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=1&scenario=3,
1,p1,9,2,B1,5,정밀제어,,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=1&scenario=5,
1,p1,10,2,B1,6,도착처리,,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=1&scenario=6,
2,p2,1,1,B1,1,수치측정,wifi500ms,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=2&scenario=1,
2,p2,2,1,B1,2,신호대기,,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=2&scenario=2,
2,p2,3,1,B1,3,돌발상황,taxi,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=2&scenario=3,
2,p2,4,1,B1,5,정밀제어,,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=2&scenario=5,
2,p2,5,1,B1,6,도착처리,,https://monitoring-nine-rho.vercel.app/?layout=vertical&pid=2&scenario=6,
2,p2,6,2,control_A,1,수치측정,battery17%,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=2&scenario=1,
2,p2,7,2,control_A,2,신호대기,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=2&scenario=2,
2,p2,8,2,control_A,3,돌발상황,bump,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=2&scenario=3,
2,p2,9,2,control_A,5,정밀제어,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=2&scenario=5,
2,p2,10,2,control_A,6,도착처리,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=2&scenario=6,
3,p3,1,1,control_A,1,수치측정,battery17%,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=3&scenario=1,
3,p3,2,1,control_A,2,신호대기,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=3&scenario=2,
